folder_name,image_count,first_image,cam_id,event_datetime,contexto,pessoas,comportamentos,label,avaliacao,scenario_type,real,predict
event_20250402_133726_41ca0095,8,motion_detected/event_20250402_133726_41ca0095/0001_6890_20250219_153816_frame_20250402_133726_000010.jpg,6890,2025-02-19 15:38:16,"Ambiente interno com vista para área externa privada, possivelmente uma garagem. Iluminação diurna com boa visibilidade.","Uma pessoa visível caminhando pela área da garagem, próxima a veículos estacionados.","A pessoa transita pela garagem, mas não há indicação clara de comportamento suspeito ou tentativa de acessar a propriedade além da área visível.","""02-19-2025 Qua 12:33:22"" e ""Camera 08"" visíveis nas imagens.","**Não**, não há comportamento de risco claro, a pessoa pode estar autorizada a estar na área.",camera_analyzer_prompt_external_street,False,False
event_20250402_142333_c72d52a0,9,motion_detected/event_20250402_142333_c72d52a0/0001_6890_20250219_153905_frame_20250402_142332_000010.jpg,6890,2025-02-19 15:39:05,Área interna com vista para garagem coberta durante o dia. Iluminação natural clara.,"Inicialmente, uma pessoa é vista próxima a um veículo. Em seguida, ela não é mais visível nas imagens seguintes.","A pessoa foi vista na área da garagem, mas não há ações suspeitas aparentes, como tentativas de entrada forçada ou comportamento vigilante.",Texto visible com a data e horário.,"**Não**, a presença na garagem pode ser normal, sem comportamentos suspeitos detectados.",camera_analyzer_prompt_external_street,False,False
event_20250408_154828_92f9ba46,3,motion_detected/event_20250408_154828_92f9ba46/0000_stand_20250408_154828_frame.jpg,stand,2025-04-08 15:48:28,"Ambiente interno, bem iluminado durante o dia, loja com exposição de produtos na parede.","Um homem visível nas imagens, se aproximando de uma parede com objetos expostos, aparentemente óculos.",Não há sinais claros de comportamento de risco. O indivíduo está apenas observando os produtos.,"""CAM 1"" e data/hora visível no canto superior direito.","**Não**, nenhuma ação suspeita ou comportamento de risco evidente nas imagens.",camera_analyzer_prompt_external_street,False,False
event_20250403_113340_c77d7f02,6,motion_detected/event_20250403_113340_c77d7f02/0001_7647_20250307_134155_frame_20250403_113340_000088.jpg,7647,2025-03-07 13:41:55,"Rua residencial durante o dia, com boa iluminação. A cena mostra a calçada e a rua em frente ao imóvel.",Aproximadamente três carros visíveis em diferentes momentos. Um dos veículos parece ser um carro de serviço ou oficial pelo design. Não há presença humana visível diretamente nas imagens.,Não há sinais diretos de comportamento suspeito ou risco. Os veículos estão estacionados ou se movendo de forma ordenada. Nenhuma atividade suspeita envolvendo motocicletas ou pessoas.,"Texto visível: ""intelbras frente esquerda"", data e hora no canto superior.","**Não**, os veículos estão apenas estacionados ou circulando de forma normal e não há evidências de atividades suspeitas.",camera_analyzer_prompt_external_street,False,False
event_20250410_145304_58dfd8c0,15,motion_detected/event_20250410_145304_58dfd8c0/0000_climbing-wall_20250410_145304_frame.jpg,climbing-wall,2025-04-10 14:53:04,"Ambiente externo, à noite, com iluminação artificial. A cena ocorre em frente a um portão de entrada de uma propriedade, junto à calçada.","Uma pessoa foi detectada. Esta pessoa se aproxima do portão, parece observar, e em seguida se afasta andando.","A pessoa foi vista se aproximando e observando o portão, o que pode indicar interesse na propriedade.",Intelbras,"**Sim**, a ação de se aproximar e observar o portão sugere um risco potencial, especialmente à noite.",camera_analyzer_prompt_external_street,True,True
event_20250408_154827_75a2a6c1,5,motion_detected/event_20250408_154827_75a2a6c1/0000_walk_20250408_154827_frame.jpg,walk,2025-04-08 15:48:27,"Ambiente interno, bem iluminado, parece ser uma loja ou recepção.",Aproximadamente duas pessoas. Uma pessoa próxima a uma prateleira de óculos.,Nenhuma ação suspeita ou de risco aparente observada.,CAM 1,"**Não**, não há ações que indicam risco à segurança.",camera_analyzer_prompt_external_street,True,False
event_20250402_142629_1e214b45,16,motion_detected/event_20250402_142629_1e214b45/0001_6888_20250219_153904_frame_20250402_142629_000001.jpg,6888,2025-02-19 15:39:04,Ambiente interno de elevador; iluminação artificial; local fechado.,Duas pessoas visíveis; uma aparentemente interagindo normalmente com objetos pessoais.,Nenhum comportamento de risco observado; as pessoas estão apenas transitando e carregando objetos pessoais.,Camera 06,"**Não**, não há comportamentos suspeitos ou de risco na sequência observada.",camera_analyzer_prompt_external_street,False,False
event_20250408_154827_fbf1558e,3,motion_detected/event_20250408_154827_fbf1558e/0000_lying_down_20250408_154827_frame.jpg,lying,,"Ambiente interno, bem iluminado, loja.","Duas pessoas visíveis, uma está caída no chão e outra está no balcão.","Uma pessoa caiu no chão de forma inesperada, enquanto outra pessoa parece estar atuando normalmente no balcão.",31-10-2011 07:52:47 CH8,"**Sim**, risco médio a alto devido à queda repentina de uma pessoa que pode indicar um acidente ou problema de saúde.",camera_analyzer_prompt_external_street,True,True
event_20250403_102654_82623f65,6,motion_detected/event_20250403_102654_82623f65/0001_17204_20250307_002852_frame_20250403_102654_000004.jpg,17204,2025-03-07 00:28:52,"Ambiente externo à noite, iluminado por luz artificial. Localização parece ser uma calçada ou estacionamento frontal.",Não há presença detectada de pessoas ou veículos nas imagens.,Nenhum comportamento suspeito ou de risco aparente foi observado.,"""FRANTE L.D"" e marca d'água ""Intelbras"".","**Não**, sem sinais objetivos de risco presentes nas imagens.",camera_analyzer_prompt_external_street,False,False
event_20250403_112220_0f05ffe1,6,motion_detected/event_20250403_112220_0f05ffe1/0001_6993_20250307_101724_frame_20250403_112220_000094.jpg,6993,2025-03-07 10:17:24,Ambiente interno com vista para uma área externa privada (provavelmente um jardim). As imagens foram capturadas durante o dia com boa iluminação.,Nenhuma pessoa ou veículo visível nas imagens.,Nenhuma atividade ou comportamento suspeito identificado.,Camera: 10,"**Não**, nenhum comportamento ou presença suspeita detectados.",camera_analyzer_prompt_external_street,False,False
event_20250403_110345_d4895a53,40,motion_detected/event_20250403_110345_d4895a53/0001_6984_20250307_101724_frame_20250403_110345_000092.jpg,6984,2025-03-07 10:17:24,"- Ambiente externo durante o dia com boa iluminação.
  - Localização: calçada e rua em frente, com visão de estacionamento frontal.","- Múltiplas pessoas e veículos observados, incluindo carros, ônibus e pedestres.
  - Não há interações ou comportamentos suspeitos observados.","- Não há sinais de manipulação de entradas, permanência prolongada, olhares repetidos ou circulação suspeita.
  - Nenhuma motocicleta foi observada.","- ""Camera 01"" visível nas imagens.","- **Não**, nenhum comportamento de risco foi identificado.",camera_analyzer_prompt_external_street,False,False
event_20250402_140834_8e7ff747,6,motion_detected/event_20250402_140834_8e7ff747/0001_6883_20250219_153816_frame_20250402_140834_000092.jpg,6883,2025-02-19 15:38:16,"Ambiente externo, aparentemente em uma rua residencial. É dia, com iluminação natural clara.","Pouca movimentação. Nas imagens observáveis, não há detecção de pessoas. Um veículo passa brevemente na terceira imagem.",Não há detecção de comportamentos associados a risco.,"Exibe ""Camera 01"" no canto inferior direito.","**Não**, não há sinais observáveis de comportamento de risco.",camera_analyzer_prompt_external_street,False,False
event_20250403_110902_b869b941,44,motion_detected/event_20250403_110902_b869b941/0001_6994_20250307_101724_frame_20250403_110902_000092.jpg,6994,2025-03-07 10:17:24,"Ambiente externo durante o dia, com iluminação adequada. A cena ocorre em uma rua residencial com calçada, próximo a um estacionamento frontal.",Há várias pessoas caminhando pela calçada e algumas vezes há veículos passando pela rua. Não há grandes aglomerações de pessoas ou veículos parados no local.,"Nenhuma atividade suspeita detectada, como tentativa de manipular entradas ou motocicletas paradas observando o imóvel.",Não identificável.,"**Não**, não foram observados comportamentos associados a risco potencial à segurança.",camera_analyzer_prompt_external_street,False,False
event_20250403_110529_22a621b0,11,motion_detected/event_20250403_110529_22a621b0/0001_6985_20250307_101724_frame_20250403_110529_000039.jpg,6985,2025-03-07 10:17:24,"Ambiente externo durante o dia, com iluminação clara. Localização na frente de um estacionamento, próximo a uma rua residencial.","Aproximadamente dois carros em algumas imagens, um ciclista e um pedestre. Os carros estão em movimento na rua, enquanto o ciclista e o pedestre atravessam ou passam pela cena rapidamente.",Não há sinais evidentes de comportamento suspeito ou de risco. Os veículos e as pessoas estão em trânsito normal sem atividades incomuns observadas.,"Marca d'água visível: ""Camera 02"" e data/hora.","**Não**, não há comportamentos de risco observáveis.",camera_analyzer_prompt_external_street,False,False
event_20250410_145302_70a01170,11,motion_detected/event_20250410_145302_70a01170/0000_altercation_20250410_145302_frame.jpg,altercation,2025-04-10 14:53:02,"Estação de serviço à noite, com iluminação artificial.","Cerca de 5 pessoas, várias motocicletas e carros visíveis. Dois indivíduos estão em uma aparente discussão, com um deles apontando algo semelhante a uma arma.","Ação direta de ameaça com objeto tipo arma, próximo a várias pessoas e veículos. Outro indivíduo levanta os braços, possivelmente em sinal de rendição.",Marca d'água visível com data e hora (27/07/2018 21:24:14).,"**Sim**, devido à presença de uma ação ameaçadora envolvendo arma em um local público movimentado.",camera_analyzer_prompt_external_street,True,True
event_20250408_154826_a42130eb,3,motion_detected/event_20250408_154826_a42130eb/0000_lying_down_20250408_154826_frame.jpg,lying,,"Ambiente externo durante o dia, boa iluminação. Local é uma rua, possivelmente residencial, com carros estacionados ao longo da via.","Três pessoas caídas no chão junto a uma motocicleta que está virada. Há outros carros estacionados, mas não em movimento.","O acidente de motocicleta é visível, mas não há sinais evidentes de comportamento malicioso ou ação de risco potencial à segurança além do próprio acidente.",Instagram @1stMrC,"**Não**, o incidente parece ser um acidente de trânsito sem comportamento suspeito ou ações de risco proposital.",camera_analyzer_prompt_external_street,True,False
event_20250410_145302_1de172a2,9,motion_detected/event_20250410_145302_1de172a2/0000_robbery_20250410_145302_frame.jpg,robbery,2025-04-10 14:53:02,"Área externa, dia, iluminação clara. Local é frente de imóvel com portão de entrada.",Dois indivíduos em motocicletas. Há pessoas próximas e veículos estacionados na rua.,"Duo em motocicletas envolvido em ação suspeita, um deles abordando outro indivíduo de maneira agressiva. Esse comportamento sugere possível tentativa de roubo.","""datenaoficial""","**Sim**, presença de indivíduos em motocicletas agindo agressivamente indica alto risco.",camera_analyzer_prompt_external_street,True,True
event_20250403_092022_f63db61a,34,motion_detected/event_20250403_092022_f63db61a/0001_55406_20250302_230353_frame_20250403_092017_000043.jpg,55406,2025-03-02 23:03:53,"Ambiente externo durante a noite, com iluminação pública. A cena ocorre em uma rua urbana, em frente a um edifício residencial ou comercial, visível através de um portão.","Aproximadamente duas a três pessoas aparecem caminhando no lado oposto da rua, sem ações suspeitas. Não há tentativa de acessar o imóvel. Há vários carros estacionados e em movimento na rua, sem comportamentos suspeitos.",Não há sinais objetivos de comportamento associado a risco.,Camera 01,"**Não**, não há sinais de risco observáveis na cena.",camera_analyzer_prompt_external_street,False,False
event_20250408_154826_7490d4e4,2,motion_detected/event_20250408_154826_7490d4e4/0000_lying_down_20250408_154826_frame.jpg,lying,,"Ambiente interno com vista para a área externa. É dia e a iluminação é natural. A área parece ser um jardim ou gramado da frente da propriedade, adjacente à calçada.","Uma pessoa está deitada em um pequeno tanque de água ao ar livre. Não há interação direta com veículos, embora três carros estejam estacionados na rua.",A pessoa no tanque de água pode indicar apenas um comportamento recreativo ou acidental. Não há sinais diretos de comportamento de risco ou de tentativa de entrada na propriedade.,"""FAILARMY® ULTIMATE SECURITY CAMERA FAILS""","**Não**, pois a pessoa não mostra intenção de invadir ou causar dano à propriedade. Parece ser uma atividade lúdica ou acidental.",camera_analyzer_prompt_external_street,True,False
event_20250403_110825_c72ce50a,21,motion_detected/event_20250403_110825_c72ce50a/0001_6994_20250307_101724_frame_20250403_110825_000056.jpg,6994,2025-03-07 10:17:24,Ambiente externo durante o dia. A iluminação é boa e a cena ocorre em uma rua com calçada e estacionamento frontal.,"Aproximadamente dois carros passam pela rua, e uma pessoa anda pela calçada nas últimas imagens.","- Não há comportamentos suspeitos significativos observados.
  - A pessoa vista andando não demonstra ações de risco como manipulação de entradas ou permanência prolongada.","Data/hora e ""Camera 11"" visíveis.","**Não**, não há sinais de risco aparentes na sequência observada.",camera_analyzer_prompt_external_street,False,False
event_20250403_115614_921a5ad2,8,motion_detected/event_20250403_115614_921a5ad2/0001_7639_20250307_134155_frame_20250403_115614_000028.jpg,7639,2025-03-07 13:41:55,"Ambiente externo durante o dia, com boa iluminação. A cena parece ser uma rua residencial observada de uma calçada ou estacionamento frontal.",Presença de carros estacionados e em movimento. Um carro estacionado em frente ao imóvel e outro passando pela rua.,"Não há comportamentos visivelmente arriscados. O carro que passa não apresenta ações suspeitas, como redução de velocidade acentuada ou paradas.","""frente direita"" e ""intelbras"" visíveis nas imagens.","**Não**, não há justificativa para risco baseado nos comportamentos observados.",camera_analyzer_prompt_external_street,False,False
event_20250408_154827_a5c783c9,3,motion_detected/event_20250408_154827_a5c783c9/0000_sit_20250408_154827_frame.jpg,sit,2025-04-08 15:48:27,"Ambiente interno, bem iluminado, possivelmente uma sala de tribunal.","Aproximadamente cinco pessoas visíveis na cena. As pessoas estão sentadas, aparentemente participando de uma sessão formal, sem atividades específicas suspeitas.",Nenhum comportamento de risco visível; todos parecem atentos à sessão.,"Texto na imagem, mas não legível.","**Não**, nenhuma ação suspeita ou de risco foi identificada.",camera_analyzer_prompt_external_street,True,False
event_20250408_154827_20d6eb21,5,motion_detected/event_20250408_154827_20d6eb21/0000_hit_20250408_154827_frame.jpg,hit,2025-04-08 15:48:27,"Ambiente externo à noite, iluminação limitada. Local parece ser uma rua ou calçada próxima a uma entrada.","Há várias pessoas, um carro com os faróis acesos, e uma motocicleta.","Pessoas em pé ao redor da motocicleta, a presença do carro próximo com os faróis acesos, indivíduos com capuz, atividade potencialmente suspeita dado o horário.","Data e hora visíveis no canto superior: ""2013-03-23 00:02:13""","**Sim**, o comportamento noturno envolvendo pessoas ao redor de um veículo com faróis acesos e uso de capuz sugere risco potencial elevado.",camera_analyzer_prompt_external_street,True,True
event_20250403_110951_999c970a,21,motion_detected/event_20250403_110951_999c970a/0001_6994_20250307_101724_frame_20250403_110947_000137.jpg,6994,2025-03-07 10:17:24,"- Ambiente externo.
  - Dia, com iluminação natural.
  - Cena em rua residencial com calçada e estacionamento frontal.","- Aproximadamente uma pessoa observada caminhando.
  - Vários carros passando pela rua.","- A pessoa está caminhando normalmente pela calçada, sem sinais aparentes de comportamento suspeito.
  - Não há motocicletas ou indícios de ações coordenadas.","- Marcas de data, hora e identificação da câmera visíveis.","- **Não**, não há comportamento ou sinais que indiquem risco de segurança.",camera_analyzer_prompt_external_street,False,False
event_20250410_145303_c8185c7c,8,motion_detected/event_20250410_145303_c8185c7c/0000_robbery_20250410_145303_frame.jpg,robbery,2025-04-10 14:53:03,"Ambiente externo durante o dia, com boa iluminação. Local parece ser uma área de entrada de uma propriedade residencial, com um carro estacionado próximo.","Aproximadamente três pessoas visíveis. Um carro estacionado. As pessoas estão próximas uma da outra, sendo que uma parece estar intimidando ou ameaçando as outras.","- Uma pessoa usando capuz, possivelmente indicando tentativa de ocultação de identidade.
  - Ação aparentemente coordenada entre dois ou mais indivíduos.
  - As pessoas parecem estar próximas à entrada do imóvel, sugerindo possível tentativa de roubo ou invasão.",Nenhum,"**Sim**, devido à presença de pessoas usando capuz em situação que parece uma ação coordenada potencialmente ameaçadora, possivelmente indicando uma tentativa de roubo ou invasão.",camera_analyzer_prompt_external_street,True,True
event_20250410_145304_a69efbc6,5,motion_detected/event_20250410_145304_a69efbc6/0000_break-in_20250410_145304_frame.jpg,break-in,2025-04-10 14:53:04,"Ambiente externo à noite, com iluminação artificial. A cena parece ser em um estacionamento ou área de entrada.","Aproximadamente três pessoas, um carro e um caminhão. As pessoas estão próximas a uma cerca.","Não há sinais claros de comportamento de risco, como tentativa de manipular entradas ou observações suspeitas.",Nenhum,"**Não**, não há comportamento suspeito aparente.",camera_analyzer_prompt_external_street,True,False
event_20250408_154827_5dbc25b2,5,motion_detected/event_20250408_154827_5dbc25b2/0000_hit_20250408_154827_frame.jpg,hit,2025-04-08 15:48:27,"Dia, ambiente externo com boa iluminação, localizado na calçada de uma rua residencial.",Aproximadamente cinco pessoas e duas motocicletas visíveis. Uma pessoa em interação agressiva com um ocupante de motocicleta.,Uma pessoa está tentando arrancar algo de um motociclista de maneira agressiva. Não há sinais de intervenção pelas outras pessoas presentes até o momento capturado nas imagens.,Shared by HOI GÀ MY MIEN NAM,"**Sim**, comportamento agressivo e tentativa de roubo ou assalto em andamento envolvendo motocicleta, classificando o risco como potencialmente alto.",camera_analyzer_prompt_external_street,True,True
event_20250408_154828_05caaa12,2,motion_detected/event_20250408_154828_05caaa12/0000_throw_20250408_154828_frame.jpg,throw,2025-04-08 15:48:28,"Ambiente externo durante o dia, com boa iluminação. Local da cena é uma rua com tráfego de veículos.",Aproximadamente sete carros visíveis. Uma pessoa próxima a um veículo.,"A presença de uma pessoa fora do carro em proximidade a vários veículos pode indicar interação com eles, mas não há sinais claros de risco nas imagens apresentadas.","""ERIN LESLIE"" e texto sobre uma acusação.","**Não**, não há comportamentos claramente ameaçadores visíveis nas imagens apresentadas.",camera_analyzer_prompt_external_street,True,False
event_20250403_111752_4930dd6b,10,motion_detected/event_20250403_111752_4930dd6b/0001_6990_20250307_101724_frame_20250403_111751_000141.jpg,6990,2025-03-07 10:17:24,"Ambiente interno. Parece ser uma recepção ou área de espera bem iluminada, possivelmente durante o dia. O local tem plantas em vasos e mobiliário confortável.","Aproximadamente uma pessoa presente, que está interagindo em uma área que parece ter objetos ou papéis.","A pessoa está concentrada em manipular ou verificar coisas em uma bancada, mas não há sinais claros de comportamento de risco como tentativa de esconder rosto ou movimentação rápida.",Existem marcas d'água visíveis de data e hora.,"**Não**, a ação não demonstra risco aparente à segurança ou ao patrimônio.",camera_analyzer_prompt_external_street,False,False
event_20250402_140721_e4453231,12,motion_detected/event_20250402_140721_e4453231/0001_6883_20250219_153816_frame_20250402_140721_000021.jpg,6883,2025-02-19 15:38:16,"Ambiente externo durante o dia, bem iluminado. A cena ocorre em uma calçada em frente a um imóvel em uma rua residencial, com um carro estacionado próximo.","Duas pessoas caminham pela calçada, uma delas parece olhando em direção ao imóvel, e depois ambas se afastam pela rua.","Inicialmente, as pessoas passam próximas ao portão e uma olha na direção do imóvel. Entretanto, prosseguem caminhando e se afastam, sem evidenciar ações suspeitas.",Câmera 01 (visível no canto inferior direito).,"**Não**, não há comportamentos que sugerem um risco de segurança significativo. Pessoas continuam seu caminho sem demonstrar intenção de forçar entrada ou permanecer de modo prolongado e suspeito.",camera_analyzer_prompt_external_street,False,False
event_20250410_145302_a6bcedf2,24,motion_detected/event_20250410_145302_a6bcedf2/0000_robbery_20250410_145302_frame.jpg,robbery,2025-04-10 14:53:02,Ambiente externo durante o dia; local próximo a um muro de tijolos.,Duas pessoas próximas a motocicletas. Ambas as pessoas estão interagindo com as motocicletas.,"Indivíduos demonstram comportamento suspeito ao manipular uma motocicleta, e um deles se afasta na motocicleta enquanto o outro continua próximo a outra.","""Intelbras"" visível na imagem.","**Sim**, devido ao comportamento de manipulação suspeita das motocicletas e a dispersão dos indivíduos, o que pode indicar um potencial risco.",camera_analyzer_prompt_external_street,True,True
event_20250410_145303_28abe440,5,motion_detected/event_20250410_145303_28abe440/0000_robbery_20250410_145303_frame.jpg,robbery,2025-04-10 14:53:03,"Passagem lateral externa de uma propriedade, durante o dia com boa iluminação.",Aproximadamente quatro motocicletas com várias pessoas próximas ao portão da propriedade.,"As motocicletas se aproximam rapidamente de um portão, sugerindo movimento inesperado de entrada. Um indivíduo aparece correndo na direção das motos, podendo indicar tentativa de interação ou interrupção.","Brasão de temperatura e localização visível (""Brasília 22°C"").","**Sim**, devido à aproximação rápida de várias pessoas em motocicletas em área restrita e comportamento de corrida, sugerindo situação potencialmente arriscada.",camera_analyzer_prompt_external_street,True,True
event_20250408_154830_a2a34495,5,motion_detected/event_20250408_154830_a2a34495/0000_sneak_20250408_154830_frame.jpg,sneak,2025-04-08 15:48:30,"Ambientes externo em um local que parece ser uma área de estacionamento ou garagem. A cena está iluminada artificialmente, sugerindo que é à noite.","Há uma pessoa visível na cena, agachada e próxima a um objeto coberto. Um veículo (provavelmente uma motocicleta) está estacionado.","A pessoa está agachada, aparentemente manipulando ou observando algo coberto, o que pode indicar comportamento suspeito. A presença dele perto do veículo estacionado à noite sem atividades claras de manutenção ou carga pode levantar suspeitas.","Uma marca d'água diz ""CH4 2012/09/06 06:30:32"".","**Sim**, há comportamento suspeito da pessoa agachada e manipulando algo próximo a um veículo à noite.",camera_analyzer_prompt_external_street,True,True
event_20250408_154830_d10056f5,5,motion_detected/event_20250408_154830_d10056f5/0000_sneak_20250408_154830_frame.jpg,sneak,2025-04-08 15:48:30,"Ambiente externo em área pavimentada, com carros estacionados. As imagens são noturnas e a iluminação é baixa.","Duas pessoas presentes ao lado de um veículo, aparentemente manipulando o que parece ser uma estrutura ou equipamento próximo ao carro. Ambas vestem roupas escuras e estão próximas uma da outra.",Pessoas se agachando e manipulando algo próximo ao carro à noite podem indicar tentativa de invasão ou furto.,Texto no canto superior esquerdo e na parte inferior da imagem. Marcação de data e hora também visível.,"**Sim**, comportamento de manipulação à noite próximo a veículos sem supervisão aparente é indicativo de risco elevado de atividade suspeita.",camera_analyzer_prompt_external_street,True,True
event_20250403_113729_6e0a44fe,6,motion_detected/event_20250403_113729_6e0a44fe/0001_7645_20250307_134155_frame_20250403_113729_000004.jpg,7645,2025-03-07 13:41:55,"Área externa privada, possivelmente um pátio ou entrada lateral, durante o dia com iluminação solar clara.",Não há pessoas ou veículos visíveis nas imagens.,"Nenhum comportamento de risco detectado, área parece deserta.","intelbras, data e hora, ""Portao entrada"".","**Não**, nenhuma atividade suspeita ou indivíduos presentes nas imagens.",camera_analyzer_prompt_external_street,False,False
event_20250408_154827_550cbaa0,2,motion_detected/event_20250408_154827_550cbaa0/0000_walk_20250408_154827_frame.jpg,walk,2025-04-08 15:48:27,"Ambiente interno, iluminação diurna, parece ser uma loja ou recepção.",Duas pessoas visíveis. Uma está atrás do balcão e outra parece aproximar-se rapidamente da porta.,"A pessoa se aproximando rapidamente da porta, parece sair com pressa, o que pode indicar um comportamento suspeito.","""LiveLeak""","**Sim**, devido à presença de uma pessoa saindo rapidamente, o que pode indicar um ato de roubo ou fuga.",camera_analyzer_prompt_external_street,True,True
event_20250408_154828_2b362832,3,motion_detected/event_20250408_154828_2b362832/0000_fall_20250408_154828_frame.jpg,fall,2025-04-08 15:48:28,Ambiente interno iluminado com portas de vidro mostrando área externa à noite. Possivelmente uma entrada ou saguão.,"Duas pessoas estão próximas à entrada. Uma pessoa parece correr em direção à porta, enquanto outra cai ao chão.",Pessoa caindo pode indicar movimento brusco ou tentativa de fuga/abordagem rápida.,Nenhum,"**Sim**, movimento brusco e queda, potencial risco ou incidente.",camera_analyzer_prompt_external_street,True,True
event_20250403_101251_f265bb7e,16,motion_detected/event_20250403_101251_f265bb7e/0001_17201_20250307_002851_frame_20250403_101250_000102.jpg,17201,2025-03-07 00:28:51,"Ambiente externo à noite, com iluminação suficiente para visibilidade. Localização em uma rua residencial, com calçada e portão visíveis.",Um veículo em movimento passa pela cena. Não há presença de pessoas ou outros veículos visíveis.,Nenhum comportamento suspeito observado. O veículo simplesmente passa pela rua.,"""Frente,L,E""","**Não**, não há sinais ou comportamentos que indiquem risco potencial à segurança na cena observada.",camera_analyzer_prompt_external_street,False,False
